ALCALINAS_BOGOTÁ,ALCALINAS_CENTRO,ALCALINAS_NORTE,ALCALINAS_SANTANDER,ALCALINAS_SUR,BOMBILLOS_BOGOTÁ,BOMBILLOS_CENTRO,BOMBILLOS_NORTE,BOMBILLOS_SANTANDER,BOMBILLOS_SUR,ENCENDEDORES_BOGOTÁ,ENCENDEDORES_CENTRO,ENCENDEDORES_NORTE,ENCENDEDORES_SANTANDER,ENCENDEDORES_SUR,MANGANESO_BOGOTÁ,MANGANESO_CENTRO,MANGANESO_NORTE,MANGANESO_SANTANDER,MANGANESO_SUR,OTROS_BOGOTÁ,OTROS_CENTRO,OTROS_NORTE,OTROS_SANTANDER,OTROS_SUR,TERCEROS_BOGOTÁ,TERCEROS_CENTRO,TERCEROS_NORTE,TERCEROS_SANTANDER,TERCEROS_SUR
0.0,1384.0,10.0,180.0,274.0,0.0,28.0,0.0,0.0,246.0,0.0,754.0,0.0,2.0,648.0,0.0,5922.0,0.0,46.0,2956.0,0.0,166.0,43.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0
0.0,717.0,90.0,120.0,259.0,0.0,457.0,0.0,0.0,25.0,0.0,958.0,20.0,0.0,236.0,0.0,5277.0,3620.0,0.0,900.0,0.0,108.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,155.0,50.0,0.0,122.0,1.0,262.0,50.0,0.0,9.0,610.0,208.0,120.0,0.0,4.0,960.0,1946.0,1480.0,0.0,3044.0,0.0,64.0,17.0,60.0,19.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,80.0,0.0,40.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,276.0,70.0,0.0,280.0,2.0,78.0,30.0,0.0,12.0,60.0,244.0,0.0,0.0,844.0,150.0,1785.0,110.0,0.0,1050.0,15.0,172.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0
22.0,594.0,80.0,80.0,110.0,18.0,163.0,90.0,6.0,176.0,48.0,1908.0,60.0,4.0,136.0,140.0,3690.0,2580.0,1320.0,1944.0,22.0,78.0,12.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0
30.0,562.0,70.0,0.0,213.0,0.0,32.0,0.0,0.0,26.0,0.0,1189.0,0.0,240.0,394.0,0.0,3652.0,40.0,90.0,790.0,35.0,242.0,25.0,180.0,42.0,0.0,0.0,0.0,0.0,0.0
8.0,1257.0,10.0,24.0,50.0,0.0,92.0,24.0,0.0,0.0,12.0,230.0,260.0,256.0,22.0,40.0,6289.0,160.0,470.0,3882.0,15.0,177.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,996.0,0.0,160.0,194.0,0.0,185.0,0.0,10.0,51.0,0.0,910.0,0.0,992.0,508.0,0.0,13744.0,0.0,0.0,1060.0,0.0,70.0,0.0,78.0,345.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0
0.0,590.0,0.0,50.0,190.0,0.0,82.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,1334.0,0.0,60.0,1624.0,0.0,213.0,0.0,104.0,44.0,0.0,0.0,0.0,0.0,0.0
36.0,630.0,85.0,21.0,170.0,0.0,87.0,0.0,0.0,54.0,324.0,1082.0,0.0,216.0,475.0,16.0,3330.0,0.0,0.0,990.0,12.0,80.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,1232.0,0.0,10.0,468.0,0.0,231.0,0.0,0.0,45.0,24.0,1023.0,0.0,0.0,460.0,150.0,5970.0,0.0,220.0,1172.0,0.0,232.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0
20.0,2006.0,0.0,168.0,214.0,0.0,866.0,0.0,0.0,29.0,0.0,2234.0,0.0,116.0,1190.0,0.0,11366.0,0.0,624.0,926.0,0.0,255.0,0.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0
10.0,518.0,0.0,494.0,40.0,0.0,57.0,0.0,6.0,0.0,0.0,276.0,80.0,356.0,166.0,30.0,3274.0,0.0,1444.0,150.0,42.0,207.0,0.0,110.0,14.0,0.0,0.0,0.0,0.0,0.0
0.0,180.0,40.0,140.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,301.0,40.0,444.0,0.0,0.0,2390.0,30.0,1120.0,1620.0,0.0,26.0,42.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1631.0,0.0,0.0,116.0,0.0,28.0,0.0,0.0,36.0,0.0,478.0,0.0,0.0,324.0,20.0,9050.0,0.0,0.0,270.0,0.0,55.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
0.0,440.0,20.0,30.0,263.0,0.0,47.0,0.0,0.0,32.0,0.0,1120.0,0.0,18.0,844.0,0.0,2198.0,10.0,122.0,5644.0,0.0,377.0,68.0,20.0,187.0,0.0,0.0,0.0,0.0,0.0
