bill_date,ALCALINAS,BOMBILLOS,ENCENDEDORES,MANGANESO,OTROS,TERCEROS,month,year,year_month,date
2018-02-24 05:00:00+00:00,13.0,6.0,28.0,760.0,1.0,0.0,2,2018,2018-02-01,2018-02-24
2018-02-26 05:00:00+00:00,525.0,143.0,1017.0,3332.0,136.0,0.0,2,2018,2018-02-01,2018-02-26
2018-02-27 05:00:00+00:00,1115.0,42.0,809.0,4228.0,263.0,0.0,2,2018,2018-02-01,2018-02-27
2018-02-28 05:00:00+00:00,1289.0,134.0,153.0,2928.0,65.0,0.0,2,2018,2018-02-01,2018-02-28
2018-03-01 05:00:00+00:00,2495.0,274.0,1090.0,13724.0,340.0,0.0,3,2018,2018-03-01,2018-03-01
2018-03-02 05:00:00+00:00,922.0,123.0,1952.0,9481.0,222.0,0.0,3,2018,2018-03-01,2018-03-02
2018-03-03 05:00:00+00:00,10.0,0.0,20.0,112.0,74.0,0.0,3,2018,2018-03-01,2018-03-03
2018-03-05 05:00:00+00:00,295.0,48.0,165.0,4236.0,76.0,0.0,3,2018,2018-03-01,2018-03-05
2018-03-06 05:00:00+00:00,2229.0,265.0,2252.0,11194.0,417.0,0.0,3,2018,2018-03-01,2018-03-06
2018-03-07 05:00:00+00:00,4216.0,398.0,1742.0,10218.0,768.0,0.0,3,2018,2018-03-01,2018-03-07
2018-03-08 05:00:00+00:00,1585.0,330.0,1707.0,14354.0,715.0,0.0,3,2018,2018-03-01,2018-03-08
2018-03-09 05:00:00+00:00,1217.0,321.0,2150.0,14539.0,570.0,0.0,3,2018,2018-03-01,2018-03-09
2018-03-12 05:00:00+00:00,593.0,98.0,1184.0,5497.0,206.0,0.0,3,2018,2018-03-01,2018-03-12
2018-03-13 05:00:00+00:00,591.0,207.0,2065.0,11064.0,356.0,0.0,3,2018,2018-03-01,2018-03-13
2018-03-14 05:00:00+00:00,1195.0,222.0,2320.0,7029.0,582.0,0.0,3,2018,2018-03-01,2018-03-14
2018-03-15 05:00:00+00:00,1018.0,66.0,2157.0,9031.0,249.0,0.0,3,2018,2018-03-01,2018-03-15
2018-03-16 05:00:00+00:00,654.0,72.0,3842.0,9281.0,231.0,0.0,3,2018,2018-03-01,2018-03-16
2018-03-17 05:00:00+00:00,102.0,60.0,6.0,576.0,275.0,0.0,3,2018,2018-03-01,2018-03-17
2018-03-19 05:00:00+00:00,110.0,146.0,544.0,860.0,0.0,0.0,3,2018,2018-03-01,2018-03-19
2018-03-20 05:00:00+00:00,1270.0,52.0,1795.0,16391.0,55.0,0.0,3,2018,2018-03-01,2018-03-20
2018-03-21 05:00:00+00:00,3096.0,127.0,2556.0,11288.0,244.0,0.0,3,2018,2018-03-01,2018-03-21
2018-03-22 05:00:00+00:00,2316.0,44.0,1599.0,12543.0,521.0,0.0,3,2018,2018-03-01,2018-03-22
